word,phonetic,translation,tag
a,ei,"第一个字母 A; 一个; 第一的\r\nart. [计] 累加器, 加法器, 地址, 振幅, 模拟, 区域, 面积, 汇编, 组件, 异步",zk gk
abandon,ә'bændәn,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵\nn. 放任, 无拘束, 狂热",gk cet4 cet6 ky toefl gre
abandoned,ә'bændәnd,"a. 被抛弃的, 无约束的, 恣意放荡的",toefl
abandonment,ә'bændәmәnt,"n. 放弃, 抛弃, 放纵\n[经] 委付, 废弃, 放弃(采矿权)",toefl
abase,ә'beis,"vt. 降低...的地位, 降低...的品格, 贬抑, 使谦卑",gre
abash,ә'bæʃ,"vt. 使不安, 使羞愧, 使困窘",gre
abashed,ә'bæʃd,"a. 不安的, 窘迫的",toefl
abate,ә'beit,"vt. 减少, 减轻, 减弱, 废除, 打折扣\nvi. 减轻, 减弱, 减少, 失效, 被废除",toefl gre
abbreviate,ә'bri:vieit,"vt. 缩写, 使...简略, 缩短\nvi. 使用缩写词",toefl gre
abbreviation,ә.bri:vi'eiʃәn,"n. 缩写词, 缩写, 缩短, 节略",cet6 toefl ielts
abdicate,'æbdikeit,"vt. 正式放弃\nvi. 退位, 退出, 辞职",toefl gre
abdomen,'æbdәmen,n. 腹部\n[医] 腹[部],ky
abduct,æb'dʌkt,"vt. 诱拐, 绑架, 使外展\n[医] 外展, 展",toefl gre
aberrant,æ'berәnt,"a. 偏离正路的, 偏离常轨的, 畸变的\n[化] 异常的",gre
aberration,æbә'reiʃәn,"n. 离开正路, 偏离, 畸变, 光行差, 心理失常, 色差\n[化] 光行差; 像差",gre
abet,ә'bet,"vt. 教唆, 煽动, 怂恿, 帮助, 支持",gre
abeyance,ә'beiәns,"n. 中止, 暂搁, 停止, 归属待定\n[化] 潜态",gre
abhor,әb'hɒ:,"vt. 憎恶, 痛恨, 回避, 拒绝",toefl gre
abhorrent,әb'hɒrәnt,"a. 令人憎恨的, 可恶的, 厌恶的, 相抵触的, 不一致的",toefl gre
abide,ә'baid,"vi. 停留, 遵守, 居留, 继续下去\nvt. 忍受, 经受, 屈从于",cet6 ky toefl gre
abiding,ә'baidiŋ,"a. 永久的, 持久的, 不变的",toefl
ability,ә'biliti,"n. 能力, 才干\n[经] 能力, 才能",zk gk cet4 ky toefl ielts
abject,'æbdʒekt,"a. 绝望无助的, 可怜的, 糟透的, 卑鄙的, 自卑的\n[法] 卑鄙的, 卑下的, 可怜的",toefl gre
abjure,әb'dʒuә,"vt. 发誓断绝, 公开放弃\n[法] 誓绝, 弃绝, 公开放弃",gre
ablaze,ә'bleiz,"a. 着火的, 闪亮的, 激昂的\nadv. 着火, 闪耀",toefl
able,'eibl,"a. 能干的, 能够的",zk gk
ablution,ә'blu:ʃәn,"n. 洗澡, 洗礼, 斋戒沐浴\n[化] 洗净; 洗净液",toefl gre
abnegate,'æbnigeit,"vt. 放弃, 舍弃, 克制(欲望)",gre
abnegation,.æbni'geiʃәn,"n. 放弃, 舍弃, 克制",gre
abnormal,æb'nɒ:mәl,"a. 反常的, 不规则的, 变态的, 畸形的\nn. 畸形的人",gk cet4 cet6 ky toefl ielts
aboard,ә'bɒ:d,"adv. 在船上, 在火车上, 在飞机上\nprep. 在...之上",gk cet4 ky toefl
abolish,ә'bɒliʃ,"vt. 废止, 革除, 消灭\n[经] 废除, 取消, 裁撤",gk cet6 ky toefl ielts gre
abolition,.æbәu'liʃәn,"n. 废除, 废奴运动\n[医] 禁止, 消失",toefl gre
abolitionist,.æbәu'liʃәnist,"n. 废除主义者, 废奴主义者",toefl
abominate,ә'bɒmineit,"vt. 厌恶, 憎恶",gre
aboriginal,.æbә'ridʒәnәl,"a. 原始的, 土著的\nn. 土著居民, 土生生物",ielts gre
abort,ә'bɒ:t,"vi. 流产, 中途失败\nvt. 使流产, 使失败, 使中止",toefl ielts
abortion,ә'bɒ:ʃәn,"n. 流产, 堕胎, 失败, 夭折, 中止\n[医] 流产, 小产; 顿挫",gk ielts
abortive,ә'bɒ:tiv,"a. 流产的, 堕胎的, 失败的\n[医] 流产的; 顿挫的",toefl gre
abound,ә'baund,"vi. 大量存在, 富于, 充满",ky toefl ielts gre
about,ә'baut,"prep. 在...周围, 大约, 有关, 关于\nadv. 大约, 四处, 在附近, 周围",zk gk
above,ә'bʌv,"prep. 在上方, 超出\nadv. 在上面\na. 上述的, 上面的",zk gk
aboveboard,ә.bʌv'bɒ:d,"adv. 光明正大地, 率直地\na. 光明正大的, 率直的",gre
abrade,ә'breid,"vt. 擦伤, 磨损, 磨\n[医] 擦除, 擦破; 磨损, 磨除",gre
abrasion,ә'breiʒәn,"n. 磨擦, 磨损, 磨损处\n[化] 磨耗; 磨蚀",toefl ielts gre
abrasive,ә'breisiv,n. 研磨料\na. 有研磨作用的,toefl gre
abreast,ә'brest,"adv. 并肩地, 并列地",gre
abridge,ә'bridʒ,"vt. 缩短, 删节, 减少, 剥夺\n[法] 剥夺; 节略",toefl ielts gre
abroad,ә'brɒ:d,"adv. 往国外, 到室外, 到处\na. 往国外的, 在室外的, 广泛四散的",zk gk toefl
abrogate,'æbrәgeit,"vt. 废除, 取消\n[经] 取消, 废除, 不生效(的法令)",gre
abrupt,ә'brʌpt,"a. 突然的, 唐突的, 陡峭的, 不连贯的",gk cet6 ky toefl ielts gre
